trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.006007875, 'e': 0.3601125166911918}",25,14,-3.4410533527640474,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.006007875, 'e': 0.3579554917611202}",20,12,1.927735315438678,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.006007875, 'e': 0.35581138711660737}",30,15,-22.907403980947855,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
174,False,"{'a': 0.006007875, 'e': 0.3536801253669025}",25,13,-19.17962051556706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.006007875, 'e': 0.3515616295848149}",30,15,-36.06639579546679,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.006007875, 'e': 0.349455823303937}",25,7,2.797668930179225,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.006007875, 'e': 0.34736263051588495}",30,1,-71.01540720312772,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 2}",1
178,False,"{'a': 0.006007875, 'e': 0.3452819756675544}",20,7,19.961624468713545,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.006007875, 'e': 0.3432137836583943}",20,1,-30.529039633132946,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.006007875, 'e': 0.341157979837695}",25,11,-7.33888977482331,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.006007875, 'e': 0.3391144900018951}",20,4,-3.198942998773221,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
182,False,"{'a': 0.006007875, 'e': 0.337083240391902}",25,8,-34.77416261487938,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
183,False,"{'a': 0.006007875, 'e': 0.3350641576904302}",20,0,-23.010102500785152,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
184,False,"{'a': 0.006007875, 'e': 0.3330571690193548}",20,0,-12.239413592159739,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
185,False,"{'a': 0.006007875, 'e': 0.3310622019370806}",20,0,-1.7528098657030933,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.006007875, 'e': 0.3290791844359282}",25,16,5.311803245734381,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.006007875, 'e': 0.32710804493953394}",20,16,6.875471581057293,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.006007875, 'e': 0.3251487123002672}",30,15,-10.51115564995788,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
189,False,"{'a': 0.006007875, 'e': 0.3232011157966616}",25,17,13.751265319026004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.006007875, 'e': 0.3212651851308631}",20,3,-32.48767122532761,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
191,False,"{'a': 0.006007875, 'e': 0.31934085042609195}",25,0,-15.503620695119558,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
192,False,"{'a': 0.006007875, 'e': 0.3174280422241209}",20,16,8.709024201511616,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.006007875, 'e': 0.31552669148276796}",20,12,1.8136170949798236,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.006007875, 'e': 0.3136367295734046}",20,16,6.800918018471538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.006007875, 'e': 0.3117580882784781}",20,5,13.15131118503304,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.006007875, 'e': 0.30989069978905}",20,12,-31.92415551460413,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
197,False,"{'a': 0.006007875, 'e': 0.30803449670234767}",25,19,-31.14698352711126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.006007875, 'e': 0.30618941201933236}",30,0,13.86669845953204,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
199,False,"{'a': 0.006007875, 'e': 0.3043553791422801}",25,9,-89.00498857307132,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
200,False,"{'a': 0.006007875, 'e': 0.3025323318723785}",25,16,-6.955958512520165,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
201,False,"{'a': 0.006007875, 'e': 0.30072020440733666}",20,0,5.151014019849461,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.006007875, 'e': 0.29891893133901093}",20,0,12.917217363036166,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
203,False,"{'a': 0.006007875, 'e': 0.2971284476510431}",20,14,11.651316485765372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.006007875, 'e': 0.29534868871651443}",20,7,-21.002976455733393,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
205,False,"{'a': 0.006007875, 'e': 0.29357959029561226}",20,5,-26.47759239205088,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
206,False,"{'a': 0.006007875, 'e': 0.29182108853331196}",25,0,-14.578417444853146,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
207,False,"{'a': 0.006007875, 'e': 0.29007311995707175}",20,13,14.056624529018537,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.006007875, 'e': 0.28833562147454156}",25,6,-64.66738266733816,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
209,False,"{'a': 0.006007875, 'e': 0.2866085303712862}",25,1,-60.59269613806354,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
210,False,"{'a': 0.006007875, 'e': 0.284891784308521}",20,0,5.395125225961635,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
211,False,"{'a': 0.006007875, 'e': 0.28318532132086255}",25,10,30.348110832198504,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.006007875, 'e': 0.2814890798140913}",20,0,-11.689108258979974,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
213,False,"{'a': 0.006007875, 'e': 0.279802998562929}",30,12,-55.16549576693919,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
214,False,"{'a': 0.006007875, 'e': 0.2781270167088281}",25,7,-36.75826254716811,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
215,False,"{'a': 0.006007875, 'e': 0.27646107375777584}",20,10,18.971857048812307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
